PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
11352969,"Phase I clinical trial of alitretinoin and tamoxifen in breast cancer patients: toxicity, pharmacokinetic, and biomarker evaluations","Lawrence JA, Adamson PC, Caruso R, Chow C, Kleiner D, Murphy RF, Venzon DJ, Shovlin M, Noone M, Merino M, Cowan KH, Kaiser M, O'Shaughnessy J, Zujewski J.",J Clin Oncol. 2001 May 15;19(10):2754-63. doi: 10.1200/JCO.2001.19.10.2754.,Lawrence JA,J Clin Oncol,2001,16/05/01,,,10.1200/JCO.2001.19.10.2754
15663994,Interaction of nuclear receptor ligands with the Vitamin D signaling pathway in prostate cancer,"Peehl DM, Feldman D.",J Steroid Biochem Mol Biol. 2004 Nov;92(4):307-15. doi: 10.1016/j.jsbmb.2004.10.006. Epub 2004 Dec 16.,Peehl DM,J Steroid Biochem Mol Biol,2004,25/01/05,,,10.1016/j.jsbmb.2004.10.006
11595692,"A phase I trial and pharmacokinetic study of 9-cis-retinoic acid (ALRT1057) in pediatric patients with refractory cancer: a joint Pediatric Oncology Branch, National Cancer Institute, and Children's Cancer Group study","Adamson PC, Widemann BC, Reaman GH, Seibel NL, Murphy RF, Gillespie AF, Balis FM.",Clin Cancer Res. 2001 Oct;7(10):3034-9.,Adamson PC,Clin Cancer Res,2001,12/10/01,,,
16243370,Prostate cancer cell type-specific involvement of the VDR and RXR in regulation of the human PTHrP gene via a negative VDRE,"Sepulveda VA, Weigel NL, Falzon M.",Steroids. 2006 Feb;71(2):102-15. doi: 10.1016/j.steroids.2005.08.009. Epub 2005 Oct 21.,Sepulveda VA,Steroids,2006,26/10/05,,,10.1016/j.steroids.2005.08.009
10901377,Differential and antagonistic effects of 9-cis-retinoic acid and vitamin D analogues on pancreatic cancer cells in vitro,"Pettersson F, Colston KW, Dalgleish AG.",Br J Cancer. 2000 Jul;83(2):239-45. doi: 10.1054/bjoc.2000.1281.,Pettersson F,Br J Cancer,2000,20/07/00,PMC2363480,,10.1054/bjoc.2000.1281
10779693,Presence and inducibility of peroxisomes in a human glioblastoma cell line,"Cimini A, Cristiano L, Bernardo A, Farioli-Vecchioli S, Stefanini S, Cerù MP.",Biochim Biophys Acta. 2000 May 1;1474(3):397-409. doi: 10.1016/s0304-4165(00)00036-2.,Cimini A,Biochim Biophys Acta,2000,26/04/00,,,10.1016/s0304-4165(00)00036-2
23489423,9-cis retinoic acid is the ALDH1A1 product that stimulates melanogenesis,"Paterson EK, Ho H, Kapadia R, Ganesan AK.",Exp Dermatol. 2013 Mar;22(3):202-9. doi: 10.1111/exd.12099.,Paterson EK,Exp Dermatol,2013,16/03/13,PMC3602921,NIHMS439899,10.1111/exd.12099
9929154,"Effects of trans-retinoic acid, 9-cis-retinoic acid, 1alpha,25-(dihydroxy)vitamin D3 and a novel apoptosis-inducing retinoid on breast cancer and endothelial cell growth","Dawson MI, Chao WR, Hobbs PD, Zhang XK.",Cancer Lett. 1998 Nov 13;133(1):1-8. doi: 10.1016/s0304-3835(98)00147-5.,Dawson MI,Cancer Lett,1998,03/02/99,,,10.1016/s0304-3835(98)00147-5
10799735,Fatty acyl-CoAs inhibit retinoic acid-induced apoptosis in Hep3B cells,"Wan YJ, Cai Y, Cowan C, Magee TR.",Cancer Lett. 2000 Jun 1;154(1):19-27. doi: 10.1016/s0304-3835(00)00341-4.,Wan YJ,Cancer Lett,2000,09/05/00,,,10.1016/s0304-3835(00)00341-4
21792151,Furocoumarin derivatives from radix Angelicae dahuricae and their effects on RXRα transcriptional regulation,"Liu DP, Luo Q, Wang GH, Xu Y, Zhang XK, Chen QC, Chen HF.",Molecules. 2011 Jul 26;16(8):6339-48. doi: 10.3390/molecules16086339.,Liu DP,Molecules,2011,28/07/11,PMC6264713,,10.3390/molecules16086339
9731207,"Combinational effects of vitamin D3 and retinoic acid (all trans and 9 cis) on proliferation, differentiation, and programmed cell death in two small cell lung carcinoma cell lines","Güzey M, Sattler C, DeLuca HF.",Biochem Biophys Res Commun. 1998 Aug 28;249(3):735-44. doi: 10.1006/bbrc.1998.9186.,Güzey M,Biochem Biophys Res Commun,1998,10/09/98,,,10.1006/bbrc.1998.9186
9326225,"A novel, myeloid transcription factor, C/EBP epsilon, is upregulated during granulocytic, but not monocytic, differentiation","Morosetti R, Park DJ, Chumakov AM, Grillier I, Shiohara M, Gombart AF, Nakamaki T, Weinberg K, Koeffler HP.",Blood. 1997 Oct 1;90(7):2591-600.,Morosetti R,Blood,1997,05/11/97,,,
15026318,Insulin-like growth factor binding protein-3 antagonizes the effects of retinoids in myeloid leukemia cells,"Ikezoe T, Tanosaki S, Krug U, Liu B, Cohen P, Taguchi H, Koeffler HP.",Blood. 2004 Jul 1;104(1):237-42. doi: 10.1182/blood-2003-07-2203. Epub 2004 Mar 16.,Ikezoe T,Blood,2004,18/03/04,,,10.1182/blood-2003-07-2203
15788681,9-cis-retinoic acid treatment increases serum concentrations of alpha-tocopherol in former smokers,"Han JY, Liu DD, Lee JJ, Kurie J, Lotan R, Hong WK, Lee HY.",Clin Cancer Res. 2005 Mar 15;11(6):2305-11. doi: 10.1158/1078-0432.CCR-04-2074.,Han JY,Clin Cancer Res,2005,25/03/05,,,10.1158/1078-0432.CCR-04-2074
23094762,Human monocyte responses to lipopolysaccharide and 9-cis retinoic acid after laparoscopic surgery for colon cancer,"Kolseth IB, Førland DT, Risøe PK, Flood-Kjeldsen S, Ågren J, Reseland JE, Lyngstadaas SP, Johnson E, Dahle MK.",Scand J Clin Lab Invest. 2012 Dec;72(8):593-601. doi: 10.3109/00365513.2012.721520. Epub 2012 Oct 24.,Kolseth IB,Scand J Clin Lab Invest,2012,26/10/12,,,10.3109/00365513.2012.721520
9276450,9-cis-retinoic acid enhances fatty acid-induced expression of the liver fatty acid-binding protein gene,"Poirier H, Braissant O, Niot I, Wahli W, Besnard P.",FEBS Lett. 1997 Aug 4;412(3):480-4. doi: 10.1016/s0014-5793(97)00830-2.,Poirier H,FEBS Lett,1997,04/08/97,,,10.1016/s0014-5793(97)00830-2
10775039,"1alpha,25-dihydroxyvitamin D3 and its analogues down-regulate cell invasion-associated proteases in cultured malignant cells","Koli K, Keski-Oja J.",Cell Growth Differ. 2000 Apr;11(4):221-9.,Koli K,Cell Growth Differ,2000,25/04/00,,,
9337080,The role of vitamin D derivatives and retinoids in the differentiation of human leukaemia cells,"James SY, Williams MA, Kelsey SM, Newland AC, Colston KW.",Biochem Pharmacol. 1997 Sep 1;54(5):625-34. doi: 10.1016/s0006-2952(97)00195-0.,James SY,Biochem Pharmacol,1997,23/10/97,,,10.1016/s0006-2952(97)00195-0
9398087,"Differanisole A, a novel antitumor antibiotic, enhances growth inhibition and differentiation of human myeloid leukemia cells induced by 9-cis retinoic acid","Kanatani Y, Makishima M, Asahi K, Sakurai A, Takahashi N, Motoyoshi K, Nagata N, Honma Y.",Biochim Biophys Acta. 1997 Oct 30;1359(1):71-9. doi: 10.1016/s0167-4889(97)00099-2.,Kanatani Y,Biochim Biophys Acta,1997,16/12/97,,,10.1016/s0167-4889(97)00099-2
9128293,Regulation of surfactant protein gene expression by retinoic acid metabolites,"George TN, Snyder JM.",Pediatr Res. 1997 May;41(5):692-701. doi: 10.1203/00006450-199705000-00015.,George TN,Pediatr Res,1997,01/05/97,,,10.1203/00006450-199705000-00015
12189556,Retinoids cause apoptosis in pancreatic cancer cells via activation of RAR-gamma and altered expression of Bcl-2/Bax,"Pettersson F, Dalgleish AG, Bissonnette RP, Colston KW.",Br J Cancer. 2002 Aug 27;87(5):555-61. doi: 10.1038/sj.bjc.6600496.,Pettersson F,Br J Cancer,2002,22/08/02,PMC2376147,,10.1038/sj.bjc.6600496
11464864,"The vitamin A analogues: 13-cis retinoic acid, 9-cis retinoic acid, and Ro 13-6307 inhibit neuroblastoma tumour growth in vivo","Ponthan F, Borgström P, Hassan M, Wassberg E, Redfern CP, Kogner P.",Med Pediatr Oncol. 2001 Jan;36(1):127-31. doi: 10.1002/1096-911X(20010101)36:1<127::AID-MPO1030>3.0.CO;2-B.,Ponthan F,Med Pediatr Oncol,2001,24/07/01,,,10.1002/1096-911X(20010101)36:1<127::AID-MPO1030>3.0.CO;2-B
9115594,"Decrease in CGRP and CT levels either contained in or released by CA-77 C cells after combined treatments with 1,25-dihydroxyvitamin D3 analogues and 9-cis retinoic acid","Lamari Y, Garel JM.",Reprod Nutr Dev. 1997;37(1):3-12. doi: 10.1051/rnd:19970101.,Lamari Y,Reprod Nutr Dev,1997,01/01/97,,,10.1051/rnd:19970101
15150131,Transactivation of the PPAR-responsive enhancer module in chemopreventive glutathione S-transferase gene by the peroxisome proliferator-activated receptor-gamma and retinoid X receptor heterodimer,"Park EY, Cho IJ, Kim SG.",Cancer Res. 2004 May 15;64(10):3701-13. doi: 10.1158/0008-5472.CAN-03-3924.,Park EY,Cancer Res,2004,20/05/04,,,10.1158/0008-5472.CAN-03-3924
19022954,"9-Cis retinoic acid reduces 1alpha,25-dihydroxycholecalciferol-induced renal calcification by altering vitamin K-dependent gamma-carboxylation of matrix gamma-carboxyglutamic acid protein in A/J male mice","Fu X, Wang XD, Mernitz H, Wallin R, Shea MK, Booth SL.",J Nutr. 2008 Dec;138(12):2337-41. doi: 10.3945/jn.108.093724.,Fu X,J Nutr,2008,22/11/08,,,10.3945/jn.108.093724
10067845,"Induction of androgen receptor by 1alpha,25-dihydroxyvitamin D3 and 9-cis retinoic acid in LNCaP human prostate cancer cells","Zhao XY, Ly LH, Peehl DM, Feldman D.",Endocrinology. 1999 Mar;140(3):1205-12. doi: 10.1210/endo.140.3.6561.,Zhao XY,Endocrinology,1999,06/03/99,,,10.1210/endo.140.3.6561
24156709,Effects of retinoic acid isomers on proteomic pattern in human breast cancer MCF-7 cell line,"Flodrova D, Benkovska D, Macejova D, Bialesova L, Bobalova J, Brtko J.",Endocr Regul. 2013 Oct;47(4):205-9. doi: 10.4149/endo_2013_04_205.,Flodrova D,Endocr Regul,2013,26/10/13,,,10.4149/endo_2013_04_205
12582020,The efficacy of 9-cis-retinoic acid (aliretinoin) as a chemopreventive agent for cervical dysplasia: results of a randomized double-blind clinical trial,"Alvarez RD, Conner MG, Weiss H, Klug PM, Niwas S, Manne U, Bacus J, Kagan V, Sexton KC, Grubbs CJ, Eltoum IE, Grizzle WE.",Cancer Epidemiol Biomarkers Prev. 2003 Feb;12(2):114-9.,Alvarez RD,Cancer Epidemiol Biomarkers Prev,2003,13/02/03,,,
27248824,Phospholipid scramblase 1 as a critical node at the crossroad between autophagy and apoptosis in mantle cell lymphoma,"Mastorci K, Montico B, Faè DA, Sigalotti L, Ponzoni M, Inghirami G, Dolcetti R, Dal Col J.",Oncotarget. 2016 Jul 5;7(27):41913-41928. doi: 10.18632/oncotarget.9630.,Mastorci K,Oncotarget,2016,02/06/16,PMC5173105,,10.18632/oncotarget.9630
12488329,"p53 Is required for 1,25-dihydroxyvitamin D3-induced G0 arrest but is not required for G1 accumulation or apoptosis of LNCaP prostate cancer cells","Polek TC, Stewart LV, Ryu EJ, Cohen MB, Allegretto EA, Weigel NL.",Endocrinology. 2003 Jan;144(1):50-60. doi: 10.1210/en.2001-210109.,Polek TC,Endocrinology,2003,19/12/02,,,10.1210/en.2001-210109
12939463,"Combination treatment with 1alpha,25-dihydroxyvitamin D3 and 9-cis-retinoic acid directly inhibits human telomerase reverse transcriptase transcription in prostate cancer cells","Ikeda N, Uemura H, Ishiguro H, Hori M, Hosaka M, Kyo S, Miyamoto K, Takeda E, Kubota Y.",Mol Cancer Ther. 2003 Aug;2(8):739-46.,Ikeda N,Mol Cancer Ther,2003,27/08/03,,,
9823949,Blast maturity and CD34 expression determine the effects of the differentiating agents KH1060 and 9-cis-retinoic acid on the differentiation and clonogenicity of non-M3 acute myeloid leukaemia cells,"Pallis M, Turzanski J, Russell NH.",Leukemia. 1998 Nov;12(11):1741-8. doi: 10.1038/sj.leu.2401197.,Pallis M,Leukemia,1998,21/11/98,,,10.1038/sj.leu.2401197
11090967,Inhibitory effects of 9-cis-retinoic acid and pyrrolidinedithiocarbamate on cyclooxygenase (COX)-2 expression and cell growth in human skin squamous carcinoma cells,"Kanekura T, Higashi Y, Kanzaki T.",Cancer Lett. 2000 Dec 20;161(2):177-83. doi: 10.1016/s0304-3835(00)00604-2.,Kanekura T,Cancer Lett,2000,25/11/00,,,10.1016/s0304-3835(00)00604-2
12599584,[A novel molecular target therapeutics for refractory prostate cancer],"Uemura H, Ikeda N, Nakaigawa N, Ouchi H, Ishiguro H, Kubota Y.",Nihon Rinsho. 2002 Dec;60 Suppl 11:272-7.,Uemura H,Nihon Rinsho,2002,26/02/03,,,
11426631,Experience with 9-cis retinoic acid in patients with relapsed and refractory non-Hodgkin's lymphoma,"Younes A, Cristofanilli M, McLaughlin P, Hagemeister FB, Weber D, Mesina O, Cabanillas F.",Leuk Lymphoma. 2000 Dec;40(1-2):79-85. doi: 10.3109/10428190009054883.,Younes A,Leuk Lymphoma,2000,28/06/01,,,10.3109/10428190009054883
17205520,"Inhibition of lung carcinogenesis by 1alpha,25-dihydroxyvitamin D3 and 9-cis retinoic acid in the A/J mouse model: evidence of retinoid mitigation of vitamin D toxicity","Mernitz H, Smith DE, Wood RJ, Russell RM, Wang XD.",Int J Cancer. 2007 Apr 1;120(7):1402-9. doi: 10.1002/ijc.22462.,Mernitz H,Int J Cancer,2007,06/01/07,,,10.1002/ijc.22462
10398275,Novel 20-epi-vitamin D3 analog combined with 9-cis-retinoic acid markedly inhibits colony growth of prostate cancer cells,"Elstner E, Campbell MJ, Munker R, Shintaku P, Binderup L, Heber D, Said J, Koeffler HP.",Prostate. 1999 Aug 1;40(3):141-9. doi: 10.1002/(sici)1097-0045(19990801)40:3<141::aid-pros1>3.0.co;2-c.,Elstner E,Prostate,1999,09/07/99,,,10.1002/(sici)1097-0045(19990801)40:3<141::aid-pros1>3.0.co;2-c
16340750,Investigation of the mechanisms by which EB1089 abrogates apoptosis induced by 9-cis retinoic acid in pancreatic cancer cells,"Mouratidis PX, Dalgleish AG, Colston KW.",Pancreas. 2006 Jan;32(1):93-100. doi: 10.1097/01.mpa.0000191648.47667.4f.,Mouratidis PX,Pancreas,2006,13/12/05,,,10.1097/01.mpa.0000191648.47667.4f
9952315,Greater synergism of retinoic acid receptor (RAR) agonists with vitamin D3 than that of retinoid X receptor (RXR) agonists with regard to growth inhibition and differentiation induction in monoblastic leukemia cells,"Makishima M, Shudo K, Honma Y.",Biochem Pharmacol. 1999 Mar 1;57(5):521-9. doi: 10.1016/s0006-2952(98)00329-3.,Makishima M,Biochem Pharmacol,1999,10/02/99,,,10.1016/s0006-2952(98)00329-3
9075707,"1,25-dihydroxyvitamin D3 and 9-cis-retinoic acid act synergistically to inhibit the growth of LNCaP prostate cells and cause accumulation of cells in G1","Blutt SE, Allegretto EA, Pike JW, Weigel NL.",Endocrinology. 1997 Apr;138(4):1491-7. doi: 10.1210/endo.138.4.5063.,Blutt SE,Endocrinology,1997,01/04/97,,,10.1210/endo.138.4.5063
12585964,Synergism between nuclear receptors bound to specific hormone response elements of the hepatic control region-1 and the proximal apolipoprotein C-II promoter mediate apolipoprotein C-II gene regulation by bile acids and retinoids,"Kardassis D, Roussou A, Papakosta P, Boulias K, Talianidis I, Zannis VI.",Biochem J. 2003 Jun 1;372(Pt 2):291-304. doi: 10.1042/BJ20021532.,Kardassis D,Biochem J,2003,15/02/03,PMC1223391,,10.1042/BJ20021532
11397803,Regulation of stearoyl coenzyme A desaturase expression in human retinal pigment epithelial cells by retinoic acid,"Samuel W, Kutty RK, Nagineni S, Gordon JS, Prouty SM, Chandraratna RA, Wiggert B.",J Biol Chem. 2001 Aug 3;276(31):28744-50. doi: 10.1074/jbc.M103587200. Epub 2001 Jun 7.,Samuel W,J Biol Chem,2001,09/06/01,,,10.1074/jbc.M103587200
11313967,Downregulation of MLL-CBP fusion gene expression is associated with differentiation of SN-1 cells with t(11;16)(q23;p13),"Niitsu N, Hayashi Y, Honma Y.",Oncogene. 2001 Jan 18;20(3):375-84. doi: 10.1038/sj.onc.1204081.,Niitsu N,Oncogene,2001,21/04/01,,,10.1038/sj.onc.1204081
11820773,Macrophage cholesterol efflux to free apoprotein A-I in C3H and C57BL/6 mice,"Stein O, Ben-Naim M, Dabach Y, Hollander G, Stein Y.",Biochem Biophys Res Commun. 2002 Feb 8;290(5):1376-81. doi: 10.1006/bbrc.2002.6358.,Stein O,Biochem Biophys Res Commun,2002,01/02/02,,,10.1006/bbrc.2002.6358